Painting ID,Location,Location Type,Rack,Artist,Title,Height,Width,Depth,Dimension
1975.17.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 40A",Screen, 40A,Maud Florence Gatewood,"Winter Light, 1973",34.02,35.98,,34 x 36 inches (86.4 x 91.4 cm)
1975.20.27,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 26A",Screen, 26A,"Duncan Stuart, American, 1919 - 2001","Concentric One, 1959",44.61,35.63,,"44 5/8 × 35 5/8 inches (113.3 × 90.5 cm)
Frame: 37 × 37 1/8 × 2 1/2 inches (94 × 94.3 × 6.4 cm)"
1975.20.28,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 41B",Screen, 41B,"Duncan Stuart, American, 1919 - 2001","Bicina II, 20th century",60.0,72.01,,60 x 72 inches (152.4 x 182.9 cm)
1975.27.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 53A",Screen, 53A,Joseph H. Cox,"Inside Out, 1975",42.01,47.99,,42 x 48 inches (106.7 x 121.9 cm)
1975.27.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Joseph H. Cox,"Pier Group II, c. 1975",22.01,29.02,,22 x 29 inches (55.9 x 73.7 cm)
1975.38.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19B",Screen, 19B,"Richard Redgrave, RA","Over the Hill to the Village, 19th century",24.02,40.0,,24 x 40 inches (61 x 101.6 cm)
1975.49.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 11A",Screen, 11A,Robert Nanteuil,"Portrait of M. Louis Le Fevre de Caumartin, 17th century",29.25,23.74,,29 1/4 x 23 3/4 inches (74.3 x 60.3 cm)
1975.51.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 27A",Screen, 27A,John Sloan,"Roses and Rock, 1918",15.63,19.49,,"Sight: 15 5/8 × 19 1/2 inches (39.7 × 49.5 cm)
Frame: 20 3/8 × 24 1/4 × 1 5/8 inches (51.8 × 61.6 × 4.1 cm)"
1975.53.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Peruvian,"Cloth Fragment, 700–1000 CE",6.26,6.26,,6 1/4 x 6 1/4 inches (15.9 x 15.9 cm)
1975.53.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Screen, 28B,Chancay,"Textile Fragment (alternating rows of fish, serpent and bird figure), 1000–1470",15.98,15.0,,16 x 15 inches (40.6 x 38.1 cm)
1975.53.13,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Chancay,"Cloth fragment; open cell fringe knit weave, with fringe, red, blue and green., 1000–1470 CE",7.99,2.52,,8 x 2 1/2 inches (20.3 x 6.4 cm)
1976.4.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,Russell W. Arnold,"Red Step, n.d.",57.99,57.99,,58 x 58 inches (147.3 x 147.3 cm)
1976.6.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 20A",Screen, 20A,Henry Ernest Schnakenberg,"South Beach, Staten Island, 1919",30.0,35.98,,"30 x 36 inches (76.2 x 91.4 cm)
Frame: 37 1/8 × 43 × 1 3/4 inches (94.3 × 109.2 × 4.4 cm)"
1976.8.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Screen, 62F,Bolivian,"Manta, c. 1850",40.98,37.01,,41 x 37 inches (104.1 x 94 cm)
1976.9.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E",Screen, 62E,Dorothy Mike,"Two Grey Hills weaving, 20th century",55.98,30.98,,56 x 31 inches (142.2 x 78.7 cm)
1976.9.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D",Screen, 62D,Virginia Leonard,"Weaving: Tree of Life, 20th century",45.51,35.51,,45 1/2 x 35 1/2 inches (115.6 x 90.2 cm)
1976.9.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Navajo,"Weaving: Wide Ruins, 20th century",55.98,40.51,,56 x 40 1/2 inches (142.2 x 102.9 cm)
1976.9.4,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Screen, 63G,Mary Long,"Weaving: Sand Painting, 20th century",62.01,62.99,,62 x 63 inches (157.5 x 160 cm)
1976.9.5,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Virginia Leonard,"Weaving, 20th century",52.01,52.99,,52 x 53 inches (132.1 x 134.6 cm)
1976.9.6,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Screen, 63G,Navajo,"Weaving: Burnt Water, 20th century",87.99,52.01,,88 x 52 inches (223.5 x 132.1 cm)
1976.9.7,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Screen, 63G,Navajo,"Weaving, 20th century",60.0,74.02,,60 x 74 inches (152.4 x 188 cm)
1976.9.8,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Screen, 63T,Navajo,"Weaving, 20th century",72.99,45.98,,73 x 46 inches (185.4 x 116.8 cm)
1976.9.9,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,"Hopi, or Navajo","Weaving, 20th century",60.51,32.01,,60 1/2 x 32 inches (153.7 x 81.3 cm)
1976.9.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Screen, 63T,Navajo,"Weaving, 20th century",72.01,45.0,,72 x 45 inches (182.9 x 114.3 cm)
1976.9.11,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63G",Screen, 63G,Navajo,"Storm pattern weaving, 20th century",80.0,55.0,,80 x 55 inches (203.2 x 139.7 cm)
1976.9.12,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Screen, 63T,Navajo,"Weaving, c. 1910–1940",88.5,57.01,,88 1/2 x 57 inches (224.8 x 144.8 cm)
1976.9.13,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63T",Screen, 63T,Navajo,"Third Phase chief's blanket, 20th century",72.01,52.99,,72 x 53 inches (182.9 x 134.6 cm)
1976.9.14,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Navajo,"Weaving, 20th century",39.02,22.52,,39 x 22 1/2 inches (99.1 x 57.2 cm)
1976.9.15,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62N",Screen, 62N,Navajo,"Weaving: Crystal Pattern, 20th century",80.0,58.5,,80 x 58 1/2 inches (203.2 x 148.6 cm)
1976.9.16,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62N",Screen, 62N,Navajo,"Weaving, 20th century",57.99,110.98,,58 x 111 inches (147.3 x 281.9 cm)
1976.9.17,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62N",Screen, 62N,Navajo,"Weaving, 20th century",104.02,68.5,,104 x 68 1/2 inches (264.2 x 174 cm)
1976.9.18,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Navajo,"Weaving, 20th century",35.51,17.52,,35 1/2 x 17 1/2 inches (90.2 x 44.5 cm)
1976.9.19,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62T",Screen, 62T,Navajo,"Weaving, 20th century",60.51,43.5,,60 1/2 x 43 1/2 inches (153.7 x 110.5 cm)
1976.10.1,"Nasher Museum Building, Nasher Painting Storage Room, Wall Screen, 28, Textile Roll # 24",Wall Screen, 28,Flemish,"Tapestry - woodland scene with forest on right, stream with birds on left.  Green, brown, yellow, foliate border pattern., 16th century–17th century",97.99,126.5,,98 x 126 1/2 inches (248.9 x 321.3 cm)
1976.21.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Charles Fernando,"Untitled, mid 20th century",22.99,35.98,,23 x 36 inches (58.4 x 91.4 cm)
1976.31.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63F, Textile Roll # 15",Screen, 63F,Flemish (?),Tapestry,64.49,94.49,,64 1/2 x 94 1/2 inches (163.8 x 240 cm)
1976.35.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 54A",Screen, 54A,"Ellen Wetherald Ahrens, American, 1859 - 1938",Portrait of Eakin's Sister,21.38,17.52,,21 3/8 x 17 1/2 inches (54.3 x 44.5 cm)
1976.36.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 23A",Screen, 23A,George Inness,"Landscape, Pompton, NJ, 1879",9.37,12.99,,"9 3/8 x 13 inches (23.8 x 33 cm)
Frame: 11 1/8 x 14 7/8 x 1 5/8 inches (28.3 x 37.8 x 4.1 cm)"
1976.47.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 27A",Screen, 27A,John Sloan,"Mare's Tails, Gloucester Moors, 1915",20.0,24.02,,"Overall: 20 x 24 inches (50.8 x 61 cm)
Frame: 24 3/8 × 28 1/4 × 1 5/8 inches (61.9 × 71.8 × 4.1 cm)
Sight: 19 5/8 × 23 5/8 inches (49.8 × 60 cm)"
1976.63.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 25B",Screen, 25B,"Henry Inman
American, 1801 - 1846","Portrait of Mrs. Catherine Nicholson Few, 1838",25.75,20.98,,oval: 25 3/4 x 21 inches (65.4 x 53.3 cm)
1976.69.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 60B",Screen, 60B,George Benjamin Luks,"Little Mother, late 19th–early 20th Century",7.99,6.5,,8 x 6 1/2 inches (20.3 x 16.5 cm)
1976.70.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,John Sloan,"Maid Cutting Ice, 1918",24.02,20.0,,"24 x 20 inches (61 x 50.8 cm)
Frame: 31 1/2 x 27 1/2 x 2 5/8 inches"
1976.80.18,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63P, Textile Roll # 17",Screen, 63P,"Fulani peoples, or Peul peoples","Men's Weave Blanket, 20th century",94.02,50.98,,94 x 51 inches (238.8 x 129.5 cm)
1976.101.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 57A",Screen, 57A,Silvia Heyden,"Hurricane, 20th century",80.75,94.25,,80 3/4 × 94 1/4 inches (205.1 × 239.4 cm)
1976.103.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 06B",Screen, 06B,Silvia Heyden,"TyBee, 20th century",76.5,127.99,,76 1/2 × 128 inches (194.3 × 325.1 cm)
1976.106.51,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61B",Screen, 61B,Mexican,"Huichol: Depicting  the Shooting of a Peyote -Coyote with Two Attendant Shamans, 20th century",23.5,22.76,,"23 1/2 x 22 3/4 inches (59.7 x 57.8 cm)
frame: 26 5/8 x 25 7/8 inches (67.6 x 65.7 cm)"
1977.50.40,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Screen, 63I,Indonesian,Batik Trade Cloth,84.02,50.98,,84 x 51 inches (213.4 x 129.5 cm)
1977.50.42,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Screen, 63I,Indian,Sari Length Cloth,72.01,44.02,,72 x 44 inches (182.9 x 111.8 cm)
1977.50.44,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Screen, 63I,Indian,Sari,165.98,45.98,,166 x 46 inches (421.6 x 116.8 cm)
1977.50.47,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Screen, 63O,Indian,"Sari, n.d.",102.01,47.99,,102 x 48 inches (259.1 x 121.9 cm)
1977.58.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 15A",Screen, 15A,,"The Annunciation, c. 1640",50.24,55.98,,50 1/4 x 56 inches (127.6 x 142.2 cm)
1977.59.53,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Screen, 52A,Henri Meunier,Poster: Rajah Woman,9.25,11.89,,9 1/4 x 11 7/8 inches (23.5 x 30.2 cm)
1977.59.55,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Screen, 55A,French,"Carte du Pays de Tendre, c. 1659",11.26,15.24,,11 1/4 x 15 1/4 inches (28.6 x 38.7 cm)
1977.59.59,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Screen, 55A,Pierre Andrieu,"Tigre Couché, 19th century",12.76,20.24,,12 3/4 x 20 1/4 inches (32.4 x 51.4 cm)
1978.1.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Arthur Bowen Davies,"The Orchard, n.d.",14.02,19.02,,Mat: 14 x 19 inches (35.6 x 48.3 cm)
1978.23.9,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D, Textile Roll #2",Screen, 62D,Bolivian,Runner,29.02,47.99,,29 x 48 inches (73.7 x 121.9 cm)
1978.23.10,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D, Textile Roll #2",Screen, 62D,Bolivian,Three Alpaca Runners.  Woven as a group together,27.01,145.0,,27 x 145 inches (68.6 x 368.3 cm)
1978.53.8,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 8",Screen, 62H,Aymara,Manta,39.37,59.06,,39 3/8 x 59 1/16 inches (100 x 150 cm)
1978.53.11,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Screen, 62J,Peruvian,Manta,44.09,37.01,,44 1/8 x 37 inches (112 x 94 cm)
1978.53.28,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 16",Screen, 62E,Bolivian,Manta,20.98,77.99,,"21 x 78 inches (53.3 x 198.1 cm)
21 1/4 x 80 5/16 inches (54 x 204 cm)"
1978.53.31,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 16",Screen, 62E,Bolivian,Manta,21.5,43.74,,21 1/2 x 43 3/4 inches (54.6 x 111.1 cm)
1978.53.32,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Screen, 63O,Bolivian,Shawl,30.0,65.98,,"30 x 66 inches (76.2 x 167.6 cm)
29 1/2 x 57 1/2 inches (75 x 146 cm)"
1978.53.33,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Screen, 63O,Bolivian,Shawl,32.99,62.01,,"33 x 62 inches (83.8 x 157.5 cm)
29 1/8 x 59 1/16 inches (74 x 150 cm)"
1978.53.34,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63E, Textile Roll # 21",Screen, 63E,Bolivian,Sweater,37.8,20.08,,37 13/16 x 20 1/16 inches (96 x 51 cm)
1978.53.43,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 16",Screen, 62E,Peruvian,Manta,37.4,74.8,,37 3/8 x 74 13/16 inches (95 x 190 cm)
1978.53.44,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62F, Textile Roll # 9",Screen, 62F,Peruvian,Manta,34.02,37.99,,34 x 38 inches (86.4 x 96.5 cm)
1978.53.45,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 10",Screen, 62H,Peruvian,Manta,64.49,27.52,,64 1/2 x 27 1/2 inches (163.8 x 69.9 cm)
1979.18.4.F,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Screen, 28A,Peruvian,Textile Fragment,32.24,24.49,,32 1/4 x 24 1/2 inches (81.9 x 62.2 cm)
1979.51.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Francisco de Campos, c. 1515-1580 (attributed to)","Noli me Tangere from Scenes from the life of Christ and the Virgin Mary, 1560–1565",25.0,15.98,,25 x 16 inches (63.5 x 40.6 cm)
1979.51.2,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Adoration of the Shepherds from Scenes from the life of Christ and the Virgin Mary, 1560–1565",25.0,15.98,,25 x 16 inches (63.5 x 40.6 cm)
1979.51.3,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",Screen, 12A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Crucifixion from Scenes from the life of Christ and the Virgin Mary, 1560–1565",25.0,15.98,,25 x 16 inches (63.5 x 40.6 cm)
1979.64.1,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63R, Textile Roll 19",Screen, 63R,Fulani peoples,"Blanket, 20th century",196.5,55.0,,196 1/2 x 55 inches (499.1 x 139.7 cm)
